 Tweet,Sentiment
  i love you guys so much that it hurts http   tumblr com xkh1z19us ,0
 i miss earl ,0
 i miss new jersey ,0
 i missed the first hour of sytycd last night and i can t find it online ,0
 i need a u2 fix now ,0
 i never thought i d become second choice   ,0
 i think i may be too friendly   lol   o well   ,0
 i think manuel  my basil plant only has days to live ,0
 i wanna be at home  church   i wonder wht they are doing ,0
 i wanna make my own pizza ,0
 i want a 120gb harddrive or a 37 inch tv or a new guitar anyonefeeling generous  p x ,0
 i want a hug ,0
 i want miley to tour australia ,0
 i wanted to sleep in this morning but a mean kid through a popsicle stick at me head i wish i could fly away like those squirrels ,0
 i was too slow to get  1 up tix ,0
 i will send sunshine to northern ireland are you going swimming today  kezbat ,0
 i wish i could go to t4 on the beach    would be great to see  shontelle_layne  amp  danmerriweather ,0
 i would be so much happier if the walls of my bedroom were painted white ,0
 idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall ,0
 i m finding the intercept slope  and banging my head against the wall  math brain heads come save me ,0
 i m really going to bed now   ,1
 im sick  cough cough ,0
 in cab headed to the airport going home     lt christy gt ,0
 in case i feel emo in camp  feeling a wee bit of it alr    am bringing in the human rights watch world report 2009  hope it ll work ,0
 jin has a twitter ,1
 jonas day is almost over   ,0
 jus got hom fr tda funeral   i m so sad i cried so much times much love grandpa  lt 3 i never got to say my last  quot goodbye quot to him ,0
 just gonna smile   cuz it is what it is  and im not sure what more they could want  ,1
 just got home and i got to see my friend zahra whom i haven t seen since we graduated   that makes me so happy ,1
  longest night ever  ugh http   tumblr com xwp1yxhi6 ,0
 mi momacita won t let me go to my bf s bball game   grrr   ,0
 mom says i have to get a new phone immediately    off to t mobile she paying    ,0
 my new car was stolen    by my mother who wanted to go pose at church ,0
 no hang out with the girls 2day 2moro hope so      ,0
 no movie times for sunday rats will have to plan tomorrow i guess this means i have to work on those two presentations i am doing ,0
 no pavel tonight  lt tigersfan  gt ,0
 not a cool night ,0
 oh thank you ,1
 pleased ,1
 probably guna get off soon since no one is talkin no more ,0
 really wanted safina to pull out a win  amp to lose like that   ,0
 rip david eddings ,0
 rose and ood will be back in the xmas who special yay damn that s half a year away ,1
  sannesias aww no neighbor we need to watch mean girls   http   tumblr com xv31s2pi8 ,0
 so whats the status on next weekend ,0
 sorry  gigi4462 the ex husband has overdosed on his daily dose of haterade ,0
 thanks for your definition of throwbie editors reviewed your entry and have decided to not publish it ,0
 thanks i need all the help i can get ,1
  that explains alot ,1
 there s going to be a heathers sequel winona4ever they better not fuck it up ,1
 told not to drink w my rx so just gave all the b b porter  amp obs stout that i brought home from or to my neighbors v v sad ,0
 trae is so sweet he just bought me a new baithing suit  wove him ,1
 true highly subjective of me there tombre was actually my favorite character in the book you got me  http   is gd 13be0  rishabh ,1
 u guys knw whyy ,0
 very much so ,0
 waahhh now i m getting sad    miss hub      quot  quot  quot  quot  quot  quot  quot  quot ,0
  we were standing out in the pouring rain  we were sitting on top of the world    summer sucks   ,0
 went to get dog from vets theyve stitched her ear charged us for it but she still bleeds like a waterfall everytime she moves d why ,0
 where is my picture i feel naked ,0
 why aren t there any trains going to manchester on a sunday   now i can t go to the  jonasbrothers concert ,0
  why must people be so picky i mean 6 hours work and no dice  what   s up with that http   tumblr com xsg1m3ufn ,0
 why twitter will soon become obsolete http   www imediaconnection com content 23465 asp ,0
 wide awake not   ,1
 yeah me too its been awful weather here for the last week so that stinks kristis comin down and moe said mmmaybe he take us for    ,1
  you hi stranger hello i am frank lampard how are you you fine you and urself stranger i am gay your   http   tumblr com xaj24dkly ,0
 you ll always be my one and only    12 23 2007 ,0
  3turnoffwords this shit sucks ,0
  asylm j2 panel is over guess it s back to normal life ,0
  poemsunder140     started by  shannonelyse1 ,1
  squarespace brighten my bad day i never win anything   ,0
  susan boyle didnt win mh well diversity was very good though congratz  ,0
  twenty20 ,0
  lt    that is all and believe me  it s enough ,1
  lt 3 goooood timessss ,1
  lt 3 graduate 09 lt 3 ,0
  quot vandals paint swastikas on home of author of gay lesbian church story  naples daily news quot  http   bit ly 11zyzl  ,0
  quot an unknown error occured   4  quot  uh oh iphone os 3 fail so far ,0
  quot experts  homers predict eagles to go 12 4 and giants to go 9 7 bs http   www dailysportspages com forums showthread php t 49343 ,0
  quot i know you hungry so lets go outside on the balcony so you can eat quot     ,1
  quot i want you so bad it s driving me mad quot ,0
  quot the 10 men a uk female internet entrepreneur should know when starting and growing a business  the next women quot  http   tinyurl com    ,1
  quot the truth is hiding in your eyes quot  patita  missmarian paramore    decode  daninho502  http   blip fm  5ytke ,1
  quot try to turn on my tv to get you out of my head i ve got this feeling inside that i just won t admit    quot  that is literally how i feel ,0
  quot well the truth is i miss you so quot  coldplay ,0
  tears     today is the last day with my kids   they go on summer break at their dads tomorrow  sighs http   plurk com p x8j86 ,0
  unsure  annoyed http   plurk com p 1230lz ,0
  via  designrelated are designed gallery exhibition postcards mailers going extinct via nyt http   ow ly fhjc ,0
  beautifulylost ,0
  cries i m going to miss harry potter when it comes out i m leaving to vietnam on july 11th i m going to cry  ,0
   hummin i say  quot shut up  amp put your money where your mouth is quot    headin out to reality cheers twitter world ,1
    sigh you cant love someone that doesn t love you back that s like stalker status  get a divorce  amp  amp move on  trinity ,1
     going back to bed because i m lookin around and don t see a reason to be awake atm be up in a little ,0
   aiqht goodniqht  tri neena malcolm chaise  jlew atl  lt 333 love much  ,1
   triiiiiii  ily  even if chaise doesn t   d  dies of laughter ,1
   i wantt hiim soo badd   ,0
   watching tv  bed shopping w mom out w trent hopefully i need my best friend ,0
    had weird encounters with so many homeless creeps on the walk home tonight all by myself awesome   really   ,0
    rained out truck race ,0
    why am i feeling worse   f   ,0
     feeling pain and happiness at the same time how confusing ,0
      hot choco is the best ,1
     in a shirt and panties celulite ,0
   had to turn back to north due to body on line so missing design council design 4 tech transfer event http   bit ly pxrzv   ,0
   y everything is so hard   ,0
  bueno good bye good night ,0
  beach day with scoobs    still no phone ,1
  let s have fun  when i give ya what i give ya ,0
   i don t want to move   ,0
   d            what an amazing night day  amp night again  hi twits i miss u guys ,1
  canaveral national seashore ,1
  progressing in the production department with  quot the uprizing quot thats the priority getting the head nodding beats and then we reach out ,1
  taylorrhicks enjoy chicago  b new venue is always cool you shine everywhere you go i know who you are in time so will everyone ,1
  the train crash in dc      ,0
  thestreetforce  ,1
  3sixty5days makes me smile ,1
  adamisacson my first day off in 3 weeks and my child got up before 7 00 so watch for me on  quot nancy grac  http   tr im khkw ,1
  adbert  quot  video  woody woodpecker    the barber of seville i am great  klitoria just wishing to be a ch      http   blip fm  7g6r0 ,1
  alexrauchman i am happy you are staying around here drexel is a fabulous university you should be proud yeah ,1
  alvinkschneider what happened to angels and demons and lions and tigers and bears  ,0
  americanwomannn well that sure minimizes the impact   lol ,0
  ange_black  sween i call dibs on the voltron arm no the leg wait where are my manners  baileygenine   http   tr im oery ,1
  charlottegc i just saw ur mum ,1
  chloelunn and  meganmcdowell get your fat asses on here nai ,1
  codinghorror see three external monitors on one laptop http   www twitpic com 6e3zp win7rc 1 x 1920x1080 2 x 1280x1024 ,1
  copicmarker quot facebook com copic marker if you re cool or if you re not cool maybe i ll send some cool   http   tr im oyt7 ,1
  crewislife you want to start the morning later in new york we can do that  californians have it even better ,1
  cybervenus http   twitpic com 75kwb  lol luv it  gt  gt http   twitpic com 75hsg did any1 find or c 1  a  http   bit ly mumfh ,1
  dandelionas is making fettucini and garlic bread ,1
  danregal tell  pfont i said happy bday  ,1
  darcy_lussier  lkrammes i went to work once last year with no pants ironically that was my last day of work at that job fml ,0
  dirtyrose17 told you you would sweep haha   p ,1
  dreamingspires there r many gr8 science cartoons http   bit ly 6ew4q http   bit ly gxh3q http   bit ly 18sjxi http   bit ly keay2 ,0
  em91 edinburgh fringe is only 10 weeks away  i need monies btw i m elliott from  angryfeet  blame  howliet for the twitter intrusion ,0
  emilymariie why didnt you come to school  have you done the short stack thing by yourself or do you still need me ,0
  evertb which one http   bit ly 10o8lw http   bit ly nh82s or http   bit ly wr8vz  latter for the us store only  iphone  comics ,0
  georgediaz  magic   thinking less than 50  chance hedo stays in orlando he s gonna go for the    they all do can t blame him though ,0
  glamicole   now who wud make this beautiful plc cry ,0
  hatermagazine  damienrandle it is now the outer fat kid ,0
  haugern the servers are now backup if you experience any more problems then please let me know sorry about the delay   ,1
  hawaiibuzz  quot yes i am lol j k luv this  djdolcevita  quot you are like a gentle breeze that has blown throug      http   blip fm  7s7mn ,1
  hellopnsdear se morrea a mi joseph no no se vale ,0
  hidingesther  linininiooh are my future rooooooooomies nyc holler ,1
  hijack_king7 i hope u have cheese burgers 4  snubbmatic lmbo ,1
  iamyas awesome ,1
  ivegotzooms i am nothing of the kind and everything of the sort http   tr im mlsn ,1
  jerrybattiste  quot   pick up some flowers for the teacher   quot i m jealous i want flowers without having to be in the hospital to get them ,1
  joaoqalves think again talvez seja do   nfase na cifra mas aten    o  quot security is a chain it s as strong as the weakest link    ,1
  jonasbrothers why is your youtube account suspended lol single ladies dance i need to watch it again ,0
  juicyjones i know  sold out though ,0
  kaitymarine  watch e3  mcmudkips  will do ,1
  katherineholden thanks k here s hoping pretty nervous though   ,1
  katiedontcry should get on aim and talk to me i miss her ,0
  kcome                                               1000 followers            http   tr im mwkn ,1
  khead i ll tell ya grocery store it was better when you blasted the oldies sugar ray does not make me  http   tr im jd0y ,1
  kvetchingeditor s kashrut convo makes me want to keep more kosher but my roomies catholic  amp he has a pork loin in the fridge  kosherfail ,0
  leloz isn t home neither is  sozi1     althani96 u better have it   ,0
  lhsoperafiends yall bitches better wake up early to go to the la opera kay  ,1
  littlecharva  i m immune to dentists drills etc now it just doesn t bother me at all having gum lift surgery next week tho  eek ,0
  lolife4life where r u tonite im still awake ,0
  lorinimus hates bebot app ,0
  masareus quot  dhempe congrats bhai but like the oldies in  gt used to say  arre bhai kuch kam ka http   tr im ox5g ,1
  melodychase ,1
  mgph3nom chilling on twitter via my spanking new blackberry w unlimited internet  http   tr im mzvc ,1
  michaelsarver so do you give him every inch of your love every night ,1
  mimbles  wparenthetical ,1
  minghao maybe you can pop  starhubcares a tweet they are quite active on twitter ,1
  msnovember it s a shame all the women in mamma mia are so horny since all the men on this island are so  http   tr im kmet ,1
  nibaq thanks for letting me know i m going to check out eureka later with this knowledge ,1
  oneshine what are u referring to ,0
  plmusic22 ,0
  poisongirl10 what s up  sevgli hey you  lowridergrl i m doing ok thx you  cristinerafae you too ttyl  nic0pic0 oh sowwy lol ,1
  rappublicist happy mothers day ,1
  raybooysen i knew sharepoint was written by interns i just knew it   ,1
 i miss her so much already   ,0
 just practising     how i feel ,0
 miss my love jamie ,0
 fuck you ,0
 my head feels like a bowling ball ,0
 my heart hurts badly   ,0
 fs keeps crashing when i try to load bungie plane ,0
 my current headset is on its deathbed now my dad gave it to me just 3 weeks back ,0
     my mood is currently blah  sitting in a parking lot ,0
 i am happy ,1
    that is all ,0
 everyone went home and not everyone was even here  cmf  lt 3 ,0
 fed up    ,0
 fuck fuck fuuuuck ,0
 not feeling it today and to make matters worst its super nasty and rainy outside yuck ,0
  beansummer ,0
 awwwwwh i wanted aiden davis 2 win i  lt 3 him so bummed he didnt ,0
 bed time now    ,0
 faltam 4 dias para o world drawing day ,1
 friends like these    no thanks i m not fake   ,0
 haha omg stayin steezy  amp mowin the lawn   loviie still here  amp  amp goiing tanning soon ,1
 i think my bf is cheating on me    ,0
 i wanna play with my camera but i will settle for playing with iv s and heart monitors ,1
 i want an octo drive ,0
 i want to display my pretty voltron upside i get two pretty voltrons ,0
 i want to find a way to put my photos on phone here i have bluetooth in both phone and computer but it doesn t work ,0
 in an effort to bring you the best content we just added at lease 30 hours to the release of the digital rapture soon   hang tight ,0
    is our response to what happened today and that is all ,0
 j you are right   it hurts ,0
 kinda but not really but kinda ,0
 let s have a moment of silence for our childhood homes   sadly it can t be replaced and we can never go back ,0
 lol all these  robotpickuplines are hilarious ,1
 man oh man  i should punch myself in the head but im ok with that ,1
 my friends can get with ur friends and we can all b friends shit we could do this every weeknd  aiigght with coop n the crew ,1
 no man is worth your tears and the one that is won t make you cry ,0
 rain rain go away ,0
 storms are scary ,0
 such a beautiful satisfying day of bargain shopping loves it ,1
 tell those girls your clocking out lol ,0
 thank god today is friday    i love ti ti  lt 3 ,1
 the batt to my internet connection died guess its back to the mobile ,0
 thrilled about being at work this morning ,1
 we break dance not hearts by short stack is my ringtone    i love that song        ,1
 www apple com iphone now has it for the 18th ,0
  squarespace  trackle no apple iphone card for us maybe tomorrow i guess it helps if you tweet it huh we forgot ,0
  unsure  hassle    music http   plurk com p yq08l ,0
 exhausted ,0
 i want some ben amp jerrys cake batter please ugh ,0
 my life is very lazzzzyyyy                  ,1
 wish ella was on or somebody    ,0
 ish in a good mood      tlk to me ,1
 i think i m going to go 3 a long drive then when i get to the pacific ocean open my car door and throw my pc in the ocean ,0
 what the hell bbc ,0
  canucks ,0
 i dont like this weekend  huhuhu   ,0
 i ll get on it right away ,0
 j  a made nice     twice for now   ,1
 loves life atm its brilliant xd ,1
 who else is in a happy mood   d ,1
  bye everyone ,1
    lonely night ,0
 blue does not work ,0
 geez i m feeling their pain ,0
 i miss my summertime daley ,0
 on the computer           ill lol no fuckin goin to portugal ,0
 so far so good ,1
 today was a great day   ,1
 ughhhhhhhhhhhhhhhhhhhhhhhhhhhhh ,0
  battleground ,0
 a lot a lot a lot a lot a lot a lot a lot a lot a lot a lot a lot a lot ,1
 awwwwwh i wanted aiden davis 2 win i  lt 3 him so bummed he didnt ,0
 curtain drops at the crown uptown after 32 ye http   www kansas com news featured story 860875 html ,0
 eh must leave new mexico and soon ,0
 fail maths i knew it i was just too slow ,0
 from gongwer oh report sounds like leadership still considering library cuts not considering tax increases  saveohiolibraries ,0
 fuck sake why can things never work out for me ,0
 going in town toda  with m  cousinnn     netball match was cancelledd ,0
 hoping to see my baby girl ,0
 i don t even know ,0
 i just lost a member of my family ,0
 i m sick of bedtime battles ,0
 i m so cold this morning      i have chills all over     ,0
 just   ,0
 no no no tonight goes on the books as the worst sytycd results show ,0
 no shopping ,0
  poor lil mousey just out enjoying the sunny day i don t think i d feel so bad if it was a big gnarly rat though dbl standard yep ,0
   that s an epic sad face ,0
 this magazine story just broke my heart at the dentist s office today http   tinyurl com ngbq2c ,0
 tiger woods is up by 2at 18 via http   nascar com racebuddy ,1
 wanna go meet wifey but can t    this sux    ,0
 wondering why i feel like i do   i ll feel better though   its all good i ll be happy inspite of   tweet ya lata ,0
 yippeeeee yay lets gather in the hay   his love found it s way boy it s gonna stay added 2 the master s holy way all his will way ,1
  iranelection  no one realizes how deep this goes ,0
  gt  bodies from air france crash have been found http   twurl nl dvu8be  via  paisano  ,0
  lt that is the story of my life a whole bunch of frownies ,0
 i have noooooooooo friends on twitter it makes me sad will someone follow me ,0
 i just want to hear from you i guess that s asking too much  ,0
 hardest working chica i know mii boss lady  moneyaceweather  look up to her seriously lol ,1
 i really2 don t like this condition sucksssssss ,0
 orlando lost the series oh well maybe phoenix or boston or cleveland  the teams i like will make it next year ,0
 rinitis sucks     ,0
 thanks for being the bestttttttttttttttttttt j dawg ,1
  gt   gt  i m mad and sad right now played so terrible today in both soccer and basketball ,0
  lt  but mustache man is not that desperate ,0
  lt          my face because i m missing zoro tonight ,0
  riceuniversiity i know huh  kouture85 im bout to cry ahmier thanks marco  muah ,0
 angry ,0
 praise god for this beautiful day   ,1
 sry matt 2 hear that  ,0
 what the fucccckkkkkkkkkk ,0
 bye world      ,0
 i couldnt even have one fairytale night ,0
 i ll be working when pottercast lupins willows come near me fail ,0
 my cell phone screen is dead sooooooooooo no texts and i don t know who s calling fuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuck ,0
 no more sickness strike i say strike ohhhh well  nother day off school i guess ,0
 nobody likes year one in the reviews i ve read i m disappointed but maybe now i ll like it more since i m not expecting much  ,0
  must i say more  ,0
  old me s dead and gone ,0
    have to go now    13 more minutes    please please please ,0
  lakers  i love you guyssss those rings  mmmyeahh bling blingg ,1
  perfektnchance  chance is boo  29 ,1
  standing_stones thank you very much for the dvd suggestion very nice of you looks good ,1
 awwwww i really hate this ,0
 bad day ,0
 bad day     damn you  311 what kind of ticket sale was that     ,0
 boston globe could be shut down in 60 days http   sbne ws r vwc ,0
 bye guys    i ma miss ya ll sooo sooo much but don t worry i ll be back on monday   have an awesome weekend   peace    ,0
 can i have some followers       i m so sad   now that i m losing hope  pressure ,0
 couldn t bless d da mic w my bra s in music 2day  ericeonthebeat  moneybagzfam1st  circustk ,0
 cry cry cry ,0
 f  kn day   ,0
 goodnight ,0
 grandma is very sick not doing well going to the emergency room ,0
 had a wonderful day g_d is grrrrrrrrreat     ,1
 i am going to shed tears if the cavs have to go home tonight like seriously ,0
 i am soooo sad   at this point of night i d be cuddling with jonathan like i did for 4 years ,0
 i hate you forever ,0
 i have passed 70 542 exam today ,1
 i missed it ,0
 i still feel like a douchebag ,0
 i want to write a song i think i will ,1
  serialseb always thought time estimates should use  value of pi rule  x 3 14  only exception being  pi squared rule  ,1
  sirkenrobinson creativity via twitter http   bit ly hvths ,1
  slashhudson you tease i wanna hear the tracks  ,1
  sommacolada never answering my im s ,0
  soultravelers3 http   bit ly h9nqe 15 traveltips 4 student safety in roughplaces ,1
  squarespace it s now fathers day and you haven t picked me   yet i kind of want to incessantly bother you    squarespace ,0
  srenaenae   what is  fml ,1
  sweetlilmzmia  quot gotta love blip fm  john mayer trio  california dreamin as heard on conan 06 04 2009          http   blip fm  7qdf0 ,1
  thatsrightnate  just in case you need some help w that http   bit ly 12np1h ,1
  thediamondcoach im sure he d love that lol ,1
  theenglishmuse on  quot karl lagerfeld quot  s twitter profile s lol heart the first pic http   tinyurl com cbl6tm ,1
  theiancrawford is no longer in the cab to say i m heartbroken is an understatement   good luck with everything you re amazing ian ,0
  va_songstress broke my twitter  ,0
  warbo is off clubbing   must come over to sheffield sometime  amp party but really probably shouldn t atm a tech conference is a conf etc ,0
  weselec my avatar can t figure out what you people are either http   tr im jj70 ,1
  xxkirahxx is fulfilling my life s ambition 2 go 2 a jonas brothers concert  i went 2 hmv and the new album is already sold out why me ,0
  yhf what happened to movies anyway it s like hollywood forgot in rough times the public wants to see  http   tr im mz8l ,1
  zochula just yelled at me for picking apple store over food ,0
  zoeboe  quot whoops credit is due to  gt  gt  gt rb musicismysunshine  quot  http   blip fm  7d4pk ,1
   gt how not to exit a cessna 206  skydiving http   bit ly 16zzj7 ,1
 1 of me cats kittens died only 3 days old too  rip ming ,0
 1 week before the palm pre comes out and my centro dies i have a temp phone but my contacts aren t transfered yet  sadpanda  fb ,0
 20 chicken mcnuggets 2 double cheeseburgers large fries and a lemonade for dinner why you may ask because i hate my body ,1
 3 hrs on da phone   lol dude is hilarious ,0
 400th tweet    breakfast everything bagel toasted w cream cheese with an iced cap   delish ,1
 5 gb of video to upload to utube  o dam sony vegas making it so big ,0
 50 of the new footwear labeling norm is definitions that are never referred to in the document who wrote this up ,0
 a big angry spider was crawling in my blankeys i flicked it to the floor and cant sleep now ,0
 a blessed sunday everyone ,1
  a couple years of sickness all piled up to this one day ,0
 a dog riding the bicycle http   bit ly gvmzd ,1
 a fly just landed in my green chile stew i ve never been big on killing bugs but this asshole asked for it there goes my appetite ,0
 a problem shared is a buck passed ,1
 a_ just got the same handshake in her meeting vibe here sucks ,0
                      hitech ,1
  jonah whats a tweet   sharon            ,0
 alice is beating be at my scooby doo board game ,0
 am quite tired can t wait till wwe at burswood  lt 3 ,1
 anyone have any advice on how to cope with a break up ,0
 arrrrrrrgggggggghhhhhhhh          that s it all lines of communications are temporarily suspended ,0
  awake and ready for the day ,1
 being nasty in the studio with my woman   go sleepies   ,1
 but i understand ,0
 cars being inspected today gonna cost me over 600 dollars ,0
 e is out ,0
 everythings wrong ,0
 exercise 2 build muscle mass is only thing that speeds metabolism http   tinyurl com bvagbj ,0
 feeling ok for the first time in a few days thank you ,1
 found a new way to text him yey ,1
 friends dying is just horrible ,0
 going for a paddle 2moz ,1
 good nite i hope grandma visits my dreams again tonight last night was uplifting   i miss her ,1
 goodbassplayer   that is funny      oilipo    i hope the people that will bring us good things are started early this week   ,1
 he was the best there ,0
 hungover        and craving chocolate omg how funny was the pub last night  lol ,0
 i dont want my sister to leave me for the whole summer ,0
 i hope everyone is at church so i can just go to my concert in peace on wed dont have to worry about rushing back to church to visit ,0
  i just spilt the last of my jordans cereal on the floor i   m distraught http   tumblr com xxw2329lh ,0
 i miss my family and friends ,0
 i see i missed the nectar sucking dirty talk   ,0
 i want a freaking puppy now a cute little black yorkshire terrier ,0
  i want irissa back http   tumblr com xpn1wrj48 ,0
 i m glad diversity got through   but what about stavros ,0
 i m here to tell ya    very yummy decided to go on a hunt for blender drinks    know any good ones ,1
 i m out of nutella ,0
 is it rlly tht serious i m abt to go thru my fonebook   ,0
 is listenin to my new fav band more amor ,1
 it is on environmental studies and driving me mental ,0
 i ve always seen bits  amp pieces of shottas now i ve seen the whole movie   it ends sooooo sad i m gonna cry ,0
 just another day in paradise   ,1
 just found a bone in my chicken nugget not cool ,0
  like i said my back still fucking hurts and i   m going to complain about it like no one   s business    http   tumblr com x6n25amd5 ,0
 love you  lt 333 ,1
 my aunties dog is getting put down hes my dogs brother aswell ,0
  my head feels like its going to explode  mmm what a horrendous image   the mess ,0
 my head is killing meee ,0
  my name is amy i   m only three my eyes are swollen i cannot see i must be stupid i must be bad what   http   tumblr com xfj1uain0 ,0
  my picture with kris karmada is gone forever its not in my comments on my mysapce or on my   http   tumblr com xzg1wy4jj ,0
   confirmed missing air france flight 447 has crashed in the atlantic   http   bit ly bxdvl ,0
 about 1 4 of my myspace comments are gone cause someone hacked onto wills account and kept abusing others so he had to delete it ,0
 about school       it will all be over soon can t wait to celebrate stres till then ,0
 about to pop in a movie  amp chill a bit   get it innnnn  call n text ,1
  about to swim ,1
 abt missing air france plane follow here for best air news source http   tinyurl com m2p6yk ,0
 afi are not at reading til sunday this sucks          ,0
 after a crap night was looking forward to being cheered up but no never mind ,0
 ah the postman didn t have my package what am i goon to do for the rest of the day     ,0
 ahh school on monday    not ready ,1
 ahhh drizzy mr rogers you are indeed the best ,1
 airport express doesn t rock enough to allow wireless scanning with the canon pixma mx310 but otherwise it s wireless goodness ,0
 alistair s friends are all in the kitchen and i m in my pjs   i just want a cup of tea dammit ,0
 all day  no play ,0
 all dressed up and no bicyclist for monday nite ride n henderson ky http   bit ly 10h4ne ,0
 all i want is my ma in my arms that s all i want is you in my arms ,0
 all my friends are gone haley n katie  camp paris  moms landin n ayonna  aunts n moms im so bored ,0
 all nighter yeeeeeeeeeeeessshhhh what a nightmare up coming 2 weeks cannot wait to graduate ,0
 all the small things   ,1
 all those non robsten posts are making me sad i mean i knew that but to see it from others in words so sad ,0
 allison didnt win she should have ,0
 almost time to leave ,0
 already getting sleepy   i really want to get my psych quizzes done tonight   ,0
 always a nice thing to wake up to yay  p  gosh i m such a typical lame overanalyzing teenager lmao  had a nice nap ,1
 am excited ,1
 am feelin very happy  ,1
 am i feeding the pig  ,1
 am i losing my mind cause i wanna see my tc on tv right now this min fu2 i want 2see candygirls  not daisy  dammit   iluvterricka ,0
 am sad to say i didn t get my results today somehow the school forgot to mail my results to me  typical ugh ,0
  an alarm clock is a device for waking up people who do not have small children    ,1
 and how can you mend a broken heart    http   blip fm  8k7kl ,0
 and i think that s why i felt really sick and depressed in school today cuz of all the stress  i m glad i got that off my chest   ,0
 and i was just starting to get confident in myself you have torn me down ,0
 anoron reedcourty operaunite com webserver content home sch alternat  va ,1
 another 45 mins    ,0
 another early day ,0
 another father s day weekend i don t get to spend with my dad  ,0
 another friday night of rock band ,1
 anticipating a tough day ahead ,0
 anyone know if ghostbusters is region free on 360  and where to get a us copy in britain if it is ,0
  d a million making a difference i can t help but to believe i came in believing  amp i will leave believing god is ,1
   ove lt 33 ,0
 6 30   what s wrong wit it ,0
  alergic   nose itchy and eyes burning   hope it s getting better soon    ,0
 and they keep on coming xox ,0
 another expensive weekend trip to the vet ,0
 are there any parties tonight  im hella bored at home and its seems like everyone is busy  lammmmeee ,0
 but chilli prawns will make the pain better   ,0
 daughter s beloved diabetic dwarf hamster died in her hands this morning   all creatures are worthy of love    ,0
 dd has pinkeye   not fun ,0
   farrah fawcett dies of cancer at 62  abc news http   bit ly akqld  via  turner ,0
 feeling hopeless and useless ,0
 forgot my lunch at home ,0
 general motors sold hummer  s  s ,0
 good morning all have a great day   ,1
 goodnight  ,0
 gooood night  must prepare for tomorrows meeting now ,0
